,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
ADH1C|126,ENSG00000248144,ADH1C,126,4,1.4,0.00028,0.0057
FGD6|55785,ENSG00000180263,FGD6,55785,12,-0.5,0.00028,0.0057
PARD6B|84612,ENSG00000124171,PARD6B,84612,20,-0.36,0.00028,0.0058
NCOA6|23054,ENSG00000198646,NCOA6,23054,20,-0.27,0.00029,0.0058
AP1G2|8906,ENSG00000213983,AP1G2,8906,14,-0.6,0.00029,0.0058
WWP1|11059,ENSG00000123124,WWP1,11059,8,0.34,0.00029,0.0058
AKR1B15|441282,ENSG00000227471,AKR1B15,441282,7,1.5,0.00029,0.0058
BCAM|4059,ENSG00000187244,BCAM,4059,19,-0.55,0.00029,0.0059
PRCP|5547,ENSG00000137509,PRCP,5547,11,0.35,0.00029,0.0059
WDSUB1|151525,ENSG00000196151,WDSUB1,151525,2,-0.3,0.00029,0.0059
ZNF562|54811,ENSG00000171466,ZNF562,54811,19,-0.25,0.00029,0.0059
TMEM195|392636,ENSG00000187546,AGMO,392636,7,0.68,0.00029,0.0059
PCDHB12|56124,ENSG00000120328,PCDHB12,56124,5,-0.68,0.00029,0.0059
EIF2S3|1968,ENSG00000130741,EIF2S3,1968,X,-0.22,3e-04,0.006
UCHL3|7347,ENSG00000118939,UCHL3,7347,13,0.29,3e-04,0.006
INHBE|83729,ENSG00000139269,INHBE,83729,12,-0.92,3e-04,0.006
PRDM7|11105,ENSG00000126856,PRDM7,11105,16,0.74,3e-04,0.006
ACADL|33,ENSG00000115361,ACADL,33,2,1.3,3e-04,0.006
PIGR|5284,ENSG00000162896,PIGR,5284,1,1.3,3e-04,0.0061
GCLC|2729,ENSG00000001084,GCLC,2729,6,0.41,3e-04,0.0061
SP5|389058,ENSG00000204335,SP5,389058,2,0.92,3e-04,0.0061
CHST8|64377,ENSG00000124302,CHST8,64377,19,-0.96,0.00031,0.0061
ZNF45|7596,ENSG00000124459,ZNF45,7596,19,-0.32,0.00031,0.0061
C2orf76|130355,ENSG00000186132,C2orf76,130355,2,0.3,0.00031,0.0061
PGM1|5236,ENSG00000079739,PGM1,5236,1,0.39,0.00031,0.0061
PEX14|5195,ENSG00000142655,PEX14,5195,1,0.3,0.00031,0.0061
VAMP7|6845,ENSG00000124333,VAMP7,6845,X,0.32,0.00031,0.0061
GPC4|2239,ENSG00000076716,GPC4,2239,X,-1.1,0.00031,0.0061
SLC1A7|6512,ENSG00000162383,SLC1A7,6512,1,-1.3,0.00031,0.0061
SLC29A4|222962,ENSG00000164638,SLC29A4,222962,7,-1.2,0.00031,0.0061
ULBP1|80329,ENSG00000111981,ULBP1,80329,6,-0.84,0.00031,0.0062
TMEM178|130733,ENSG00000152154,TMEM178A,130733,2,-0.64,0.00031,0.0062
C9orf91|203197,ENSG00000157693,C9orf91,203197,9,0.35,0.00032,0.0062
KLHL21|9903,ENSG00000162413,KLHL21,9903,1,0.39,0.00032,0.0062
C21orf34|388815,ENSG00000215386,MIR99AHG,388815,21,0.73,0.00032,0.0063
NMT2|9397,ENSG00000152465,NMT2,9397,10,0.36,0.00032,0.0063
MRPS30|10884,ENSG00000112996,MRPS30,10884,5,0.22,0.00032,0.0063
NRG3|10718,ENSG00000185737,NRG3,10718,10,-0.97,0.00032,0.0063
PLXNB3|5365,ENSG00000198753,PLXNB3,5365,X,-1.1,0.00032,0.0063
TCEA1|6917,ENSG00000187735,TCEA1,6917,8,0.27,0.00032,0.0063
MSN|4478,ENSG00000147065,MSN,4478,X,0.42,0.00032,0.0063
ATP6V1C1|528,ENSG00000155097,ATP6V1C1,528,8,0.32,0.00032,0.0063
RBAK|57786,ENSG00000146587,RBAK,57786,7,-0.27,0.00033,0.0063
RAVER2|55225,ENSG00000162437,RAVER2,55225,1,-0.71,0.00033,0.0063
FOLR1|2348,ENSG00000110195,FOLR1,2348,11,-1.2,0.00033,0.0063
NUDT3|11165,ENSG00000272325,NUDT3,11165,6,-0.23,0.00033,0.0063
CMYA5|202333,ENSG00000164309,CMYA5,202333,5,-0.78,0.00033,0.0063
