,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
ANKRD2|26287,ENSG00000165887,ANKRD2,26287,10,2.1,4.7e-11,1.3e-08
MAP6|4135,ENSG00000171533,MAP6,4135,11,-1.8,5.1e-11,1.4e-08
TRIM50|135892,ENSG00000146755,TRIM50,135892,7,2.1,5.1e-11,1.4e-08
SOSTDC1|25928,ENSG00000171243,SOSTDC1,25928,7,3.7,5.8e-11,1.5e-08
AMN|81693,ENSG00000166126,AMN,81693,14,2.4,6e-11,1.6e-08
GLYAT|10249,ENSG00000149124,GLYAT,10249,11,2.7,6.7e-11,1.7e-08
SMC1A|8243,ENSG00000072501,SMC1A,8243,X,-0.46,8.1e-11,2.1e-08
TIMP4|7079,ENSG00000157150,TIMP4,7079,3,-1.5,1.1e-10,2.6e-08
BACH2|60468,ENSG00000112182,BACH2,60468,6,-1.4,1.1e-10,2.6e-08
TMEM82|388595,ENSG00000162460,TMEM82,388595,1,2.9,1.1e-10,2.6e-08
ZNF488|118738,ENSG00000265763,ZNF488,118738,10,-1.4,1.1e-10,2.6e-08
SEMA4F|10505,ENSG00000135622,SEMA4F,10505,2,-0.57,1.2e-10,2.7e-08
IYD|389434,ENSG00000009765,IYD,389434,6,2,1.2e-10,2.7e-08
ARHGAP27|201176,ENSG00000276907,ARHGAP27,201176,CHR_HSCHR17_2_CTG5,0.61,1.3e-10,2.8e-08
SLC35E4|339665,ENSG00000100036,SLC35E4,339665,22,-0.67,1.3e-10,2.8e-08
LYG1|129530,ENSG00000144214,LYG1,129530,2,2.2,1.3e-10,3e-08
WFDC5|149708,ENSG00000175121,WFDC5,149708,20,3,1.4e-10,3e-08
CALML4|91860,ENSG00000129007,CALML4,91860,15,0.72,1.4e-10,3.1e-08
SEPX1|51734,ENSG00000198736,MSRB1,51734,16,1,1.5e-10,3.1e-08
KIF3C|3797,ENSG00000084731,KIF3C,3797,2,-0.94,1.5e-10,3.1e-08
CA5BP|340591,ENSG00000186312,CA5BP1,340591,X,-0.49,1.6e-10,3.4e-08
PROM1|8842,ENSG00000007062,PROM1,8842,4,2.5,1.7e-10,3.4e-08
GOLT1A|127845,ENSG00000174567,GOLT1A,127845,1,-1.8,1.8e-10,3.6e-08
EPHB3|2049,ENSG00000182580,EPHB3,2049,3,-1.4,1.9e-10,3.8e-08
SEPN1|57190,ENSG00000162430,SEPN1,57190,1,-0.61,2.3e-10,4.6e-08
TMEM143|55260,ENSG00000161558,TMEM143,55260,19,0.58,2.7e-10,5.3e-08
PHF16|9767,ENSG00000102221,JADE3,9767,X,-0.61,3.9e-10,7.5e-08
LOC84856|84856,ENSG00000185904,LINC00839,84856,10,-2.6,5.3e-10,1e-07
DIAPH2|1730,ENSG00000147202,DIAPH2,1730,X,-0.76,5.7e-10,1.1e-07
TRIM15|89870,ENSG00000224145,TRIM15,89870,CHR_HSCHR6_MHC_SSTO_CTG1,2.2,6.1e-10,1.1e-07
GATM|2628,ENSG00000171766,GATM,2628,15,1.7,6.1e-10,1.1e-07
FTCD|10841,ENSG00000281775,FTCD,10841,CHR_HSCHR21_5_CTG2,3,6.4e-10,1.2e-07
APLP1|333,ENSG00000105290,APLP1,333,19,-1.7,6.5e-10,1.2e-07
PGA5|5222,ENSG00000256713,PGA5,5222,11,2,7e-10,1.2e-07
TMEM185B|79134,ENSG00000226479,TMEM185B,79134,2,-0.59,7.3e-10,1.3e-07
NELF|26012,ENSG00000165802,NSMF,26012,9,0.78,7.5e-10,1.3e-07
MAGEE1|57692,ENSG00000198934,MAGEE1,57692,X,-0.56,7.9e-10,1.4e-07
CYP4A11|1579,ENSG00000162365,CYP4A22,1579,1,2.8,8.4e-10,1.4e-07
SEPSECS|51091,ENSG00000109618,SEPSECS,51091,4,0.51,9e-10,1.5e-07
TTLL2|83887,ENSG00000120440,TTLL2,83887,6,1.8,9.1e-10,1.5e-07
KIF5A|3798,ENSG00000155980,KIF5A,3798,12,-1.8,9.2e-10,1.5e-07
GRTP1|79774,ENSG00000139835,GRTP1,79774,13,1,9.3e-10,1.5e-07
SLC1A4|6509,ENSG00000115902,SLC1A4,6509,2,-0.59,9.9e-10,1.6e-07
PCK1|5105,ENSG00000124253,PCK1,5105,20,2.4,1e-09,1.6e-07
PYGO1|26108,ENSG00000171016,PYGO1,26108,15,-1.6,1.1e-09,1.7e-07
EXT2|2132,ENSG00000151348,EXT2,2132,11,-0.4,1.4e-09,2.2e-07
DECR2|26063,ENSG00000274296,DECR2,26063,CHR_HSCHR16_CTG2,0.89,1.7e-09,2.6e-07
PCP4|5121,ENSG00000183036,PCP4,5121,21,2.8,1.8e-09,2.7e-07
C4orf10|317648,ENSG00000249673,NOP14-AS1,317648,4,0.47,1.8e-09,2.8e-07
GPR161|23432,ENSG00000143147,GPR161,23432,1,-1,1.9e-09,2.9e-07
MACC1|346389,ENSG00000183742,MACC1,346389,7,1.4,1.9e-09,2.9e-07
PDLIM3|27295,ENSG00000154553,PDLIM3,27295,4,1.3,2e-09,3e-07
DHRS12|79758,ENSG00000102796,DHRS12,79758,13,0.56,2.3e-09,3.3e-07
FUT6|2528,ENSG00000156413,FUT6,2528,19,1.9,2.3e-09,3.3e-07
GBA3|57733,ENSG00000249948,GBA3,57733,4,2.2,2.3e-09,3.4e-07
TPK1|27010,ENSG00000196511,TPK1,27010,7,1.2,2.3e-09,3.4e-07
