,ensembl_gene_id,hgnc_symbol,entrezgene,chromosome_name,logFC,p.val,q.value
MED13|9969,ENSG00000108510,MED13,9969,17,0.8,0.0014,0.046
DYNLRB1|83658,ENSG00000125971,DYNLRB1,83658,20,0.61,0.0014,0.046
C10orf105|414152,ENSG00000214688,C10orf105,414152,10,-1.2,0.0014,0.046
C14orf64|388011,ENSG00000246223,LINC01550,388011,14,-1.8,0.0014,0.046
TIMM16|51025,ENSG00000282228,PAM16,51025,CHR_HSCHR16_3_CTG1,0.89,0.0014,0.046
ZNF667|63934,ENSG00000198046,ZNF667,63934,19,-1.6,0.0014,0.046
TRIM56|81844,ENSG00000169871,TRIM56,81844,7,-0.91,0.0014,0.046
GPR157|80045,ENSG00000180758,GPR157,80045,1,-1.2,0.0014,0.046
TMPRSS3|64699,ENSG00000160183,TMPRSS3,64699,21,-2.6,0.0014,0.046
CD226|10666,ENSG00000150637,CD226,10666,18,-1.4,0.0015,0.047
OSMR|9180,ENSG00000145623,OSMR,9180,5,-1.2,0.0015,0.047
PALMD|54873,ENSG00000099260,PALMD,54873,1,-1.1,0.0015,0.047
COX17|10063,ENSG00000138495,COX17,10063,3,0.71,0.0015,0.047
CEACAM1|634,ENSG00000079385,CEACAM1,634,19,-1.5,0.0015,0.047
TMEM101|84336,ENSG00000091947,TMEM101,84336,17,1.2,0.0015,0.047
ITK|3702,ENSG00000113263,ITK,3702,5,-1.9,0.0015,0.047
TUBA3E|112714,ENSG00000152086,TUBA3E,112714,2,2.7,0.0015,0.047
ADI1|55256,ENSG00000182551,ADI1,55256,2,-0.73,0.0015,0.047
LIPG|9388,ENSG00000101670,LIPG,9388,18,-1.8,0.0015,0.047
ASB9|140462,ENSG00000102048,ASB9,140462,X,-1.2,0.0015,0.047
EIF2AK2|5610,ENSG00000055332,EIF2AK2,5610,2,-0.86,0.0015,0.047
KIFC2|90990,ENSG00000167702,KIFC2,90990,8,1.1,0.0015,0.047
PSTPIP2|9050,ENSG00000152229,PSTPIP2,9050,18,-0.97,0.0015,0.048
LY6K|54742,ENSG00000160886,LY6K,54742,8,-2.5,0.0015,0.048
ZMYND15|84225,ENSG00000141497,ZMYND15,84225,17,-1.1,0.0016,0.049
IL2RB|3560,ENSG00000100385,IL2RB,3560,22,-1.5,0.0016,0.049
THEM5|284486,ENSG00000196407,THEM5,284486,1,-1.3,0.0016,0.049
ITPRIPL1|150771,ENSG00000198885,ITPRIPL1,150771,2,-1.3,0.0016,0.049
KRT6B|3854,ENSG00000185479,KRT6B,3854,12,-3.6,0.0016,0.049
HLA-C|3107,ENSG00000228299,HLA-C,3107,CHR_HSCHR6_MHC_DBB_CTG1,-0.93,0.0016,0.049
SUCNR1|56670,ENSG00000198829,SUCNR1,56670,3,-1.6,0.0016,0.049
PUS3|83480,ENSG00000110060,PUS3,83480,11,-0.55,0.0016,0.049
CD1C|911,ENSG00000158481,CD1C,911,1,-2,0.0016,0.049
RAB20|55647,ENSG00000139832,RAB20,55647,13,-0.87,0.0016,0.049
MUC5B|727897,ENSG00000117983,MUC5B,727897,11,-3.6,0.0016,0.049
NR2C2AP|126382,ENSG00000184162,NR2C2AP,126382,19,0.64,0.0016,0.049
FAM168B|130074,ENSG00000152102,FAM168B,130074,2,-0.52,0.0016,0.049
COX7A2|1347,ENSG00000112695,COX7A2,1347,6,0.62,0.0016,0.049
DEFB1|1672,ENSG00000164825,DEFB1,1672,8,-2.6,0.0016,0.049
SMTNL1|219537,ENSG00000214872,SMTNL1,219537,11,-1.2,0.0016,0.049
TBC1D22B|55633,ENSG00000065491,TBC1D22B,55633,6,-0.49,0.0016,0.05
DTNB|1838,ENSG00000138101,DTNB,1838,2,-0.72,0.0016,0.05
ICOSLG|23308,ENSG00000160223,ICOSLG,23308,21,-0.84,0.0016,0.05
WNT3|7473,ENSG00000277626,WNT3,7473,CHR_HSCHR17_1_CTG5,1.4,0.0017,0.05
GZMB|3002,ENSG00000100453,GZMB,3002,14,-2.1,0.0017,0.05
SCD|6319,ENSG00000099194,SCD,6319,10,1.5,0.0017,0.05
NCK1|4690,ENSG00000158092,NCK1,4690,3,-0.56,0.0017,0.05
USP18|11274,ENSG00000184979,USP18,11274,22,-0.98,0.0017,0.05
EHHADH|1962,ENSG00000113790,EHHADH,1962,3,-0.9,0.0017,0.05
